RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Severity,TimeSinceFire_years,Study_Severity,Authors,Title,DOI,StudyType,VegCover,GFEDVegCover,Region,LatLon,LitterC_Binary_Measurements,O_MineralCombo_Binary_Measurements,O_lyr_Binary_Measurements,Mineral_Binary_Measurements,BurnDepth_Binary_Measurements,SoilC_Binary_Measurements,SoilN_Binary_Measurements,pyC_char_ash_Binary_Measurements,Rs_Rh_Ra_CH4_Binary_Measurements,C02mic_BasalResp_Binary_Measurements,CUEmic_Binary_Measurements,MBC_Binary_Measurements,DOC_Binary_Measurements,Microbial_comp_Binary_Measurements,RootN_Binary_Measurements,RootC_Binary_Measurements,BD_Binary_Measurements,MRT_Binary_Measurements,SoilC_Units_StockData,SoilC1_Depth_cm_StockData,SoilC2_Depth_cm_StockData,SoilC3_Depth_cm_StockData,O_lyr_Units_StockData,PyC_Units_StockData,LitterDuff_Units_StockData,RootC_Units_StockData,MBC_Units_StockData,SrespUnits_FluxData,CH4Units_FluxData,PeatAccumulationRate_units_FluxData,EmissionsUnits_Emissions,Description_StockData,DescriptionText_StockData,SoilC1_StockData,SoilC2_StockData,SoilC3_StockData,O_lyrC_StockData,PyC_StockData,LitterDuffC_StockData,RootC_StockData,MBC_StockData,BD_gcm3_StockData,Rs_FluxData,Rh_FluxData,Ra_FluxData,CH4_FluxData,MRT_active_FluxData,MRT_passive_FluxData,MRT_total_FluxData,PeatAccumulationRate_FluxData,CO2mic_text,BurnDepth_cm_Emissions,Soil_Emissions,Litter_Emissions,Roots_Emissions,TotalBelowground_Emissions,UniqueID,Lat,Lon,Biome,Biome_simple,SoilC1_StockData_Mg_ha,SoilC1_StockData_Mg_ha_scaled,SoilC2_StockData_Mg_ha,SoilC3_StockData_Mg_ha,SoilC1_StockData_percent,SoilC2_StockData_percent,SoilC3_StockData_percent,O_lyrC_StockData_Mg_ha,O_lyrC_StockData_percent,LitterDuffC_StockData_Mg_ha,LitterDuffC_StockData_percent,RootC_StockData_Mg_ha,MBC_StockData_Mg_ha,MBC_StockData_percent,Rs_FluxData_g_m2,Rs_FluxData_g_m2_unit,Ra_FluxData_g_m2,Ra_FluxData_g_m2_unit,CH4_FluxData_g_m2,CH4_FluxData_g_m2_unit,PeatAccumulationRate_FluxData_g_m2,PeatAccumulationRate_FluxData_g_m2_unit
547,1,2,Burn,Burned,0.1,Low,"Harris, W. N.; Boutton, T. W.; Ansley, R. J.",Plant Community and Soil Microbial Carbon and Nitrogen Responses to Fire and Clipping in a Southern Mixed Grassland,10.2111/07-047.1,RxFire,Nasella leucotricha,SAVA,USA,"33.85, 99.43333",0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,NA,10,NA,NA,NA,NA,NA,NA,mgC_per_kg,NA,NA,NA,NA,Burned,Burned,NA,NA,NA,NA,NA,NA,NA,923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547_2,33.85,99.43333,Montane Grasslands & Shrublands,AlpineBorealForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0923,NA,NA,NA,NA,NA,NA,NA,NA
551,1,1,Control,Unburned,0,Mixed,"Hatten, Jeff A.; Zabowski, Darlene",Fire severity effects on soil organic matter from a ponderosa pine forest: a laboratory study,10.1071/WF08048,Laboratory,P. pine,TEMF,USA,"47.45, 120.6317",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,gC_per_kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,Unburned,407,52,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551_1,47.45,120.6317,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,40.7,5.2,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,1,2,Burn,LowSeverity,0,Mixed,"Hatten, Jeff A.; Zabowski, Darlene",Fire severity effects on soil organic matter from a ponderosa pine forest: a laboratory study,10.1071/WF08048,Laboratory,P. pine,TEMF,USA,"47.45, 120.6317",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,gC_per_kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,Low severity,414,53,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551_2,47.45,120.6317,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,41.4,5.3,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,1,3,Burn,ModSeverity,0,Mixed,"Hatten, Jeff A.; Zabowski, Darlene",Fire severity effects on soil organic matter from a ponderosa pine forest: a laboratory study,10.1071/WF08048,Laboratory,P. pine,TEMF,USA,"47.45, 120.6317",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,gC_per_kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ModSeverity,Moderate,376,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551_3,47.45,120.6317,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,37.6,4.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,1,4,Burn,HighSeverity,0,Mixed,"Hatten, Jeff A.; Zabowski, Darlene",Fire severity effects on soil organic matter from a ponderosa pine forest: a laboratory study,10.1071/WF08048,Laboratory,P. pine,TEMF,USA,"47.45, 120.6317",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,gC_per_kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,High ,226,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551_4,47.45,120.6317,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,22.6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,1,1,Control,Unburned,2,Mixed,"Heckman, Katherine; Campbell, John; Powers, Heath; Law, Beverly; Swanston, Chris","THE INFLUENCE OF FIRE ON THE RADIOCARBON SIGNATURE AND CHARACTER OF SOIL ORGANIC MATTER IN THE SISKIYOU NATIONAL FOREST, OREGON, USA",10.4996/fireecology.0902040,Wildfire,doug fir,TEMF,USA,NA,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,percent,15,NA,NA,NA,gCoarseCharcoal_per_kg,NA,g_per_m2,NA,NA,NA,NA,NA,Unburned,Unburned,8.3,NA,NA,NA,NA,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559_1,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,1,2,Burn,LowSeverity,2,Mixed,"Heckman, Katherine; Campbell, John; Powers, Heath; Law, Beverly; Swanston, Chris","THE INFLUENCE OF FIRE ON THE RADIOCARBON SIGNATURE AND CHARACTER OF SOIL ORGANIC MATTER IN THE SISKIYOU NATIONAL FOREST, OREGON, USA",10.4996/fireecology.0902040,Wildfire,doug fir,TEMF,USA,NA,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,percent,15,NA,NA,NA,gCoarseCharcoal_per_kg,NA,g_per_m2,NA,NA,NA,NA,NA,LowSeverity,low severity,6.8,NA,NA,NA,3,NA,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559_2,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,1,3,Burn,ModSeverity,2,Mixed,"Heckman, Katherine; Campbell, John; Powers, Heath; Law, Beverly; Swanston, Chris","THE INFLUENCE OF FIRE ON THE RADIOCARBON SIGNATURE AND CHARACTER OF SOIL ORGANIC MATTER IN THE SISKIYOU NATIONAL FOREST, OREGON, USA",10.4996/fireecology.0902040,Wildfire,doug fir,TEMF,USA,NA,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,percent,15,NA,NA,NA,gCoarseCharcoal_per_kg,NA,g_per_m2,NA,NA,NA,NA,NA,ModSeverity,medium severity,10.8,NA,NA,NA,NA,NA,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559_3,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,1,4,Burn,HighSeverity,2,Mixed,"Heckman, Katherine; Campbell, John; Powers, Heath; Law, Beverly; Swanston, Chris","THE INFLUENCE OF FIRE ON THE RADIOCARBON SIGNATURE AND CHARACTER OF SOIL ORGANIC MATTER IN THE SISKIYOU NATIONAL FOREST, OREGON, USA",10.4996/fireecology.0902040,Wildfire,doug fir,TEMF,USA,NA,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,percent,15,NA,NA,NA,gCoarseCharcoal_per_kg,NA,g_per_m2,NA,NA,NA,NA,NA,HighSeverity,high severity,9.8,NA,NA,NA,52,NA,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559_4,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,1,1,Control,Control_ref,0.1,Low,"Lavoie, M.; Starr, G.; Mack, M. C.; Martin, T. A.; Gholz, H. L.","Effects of a Prescribed Fire on Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida",10.3375/043.030.0109,RxFire,Pine,TEMF,USA,"29.75,-82",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,gC_per_m2,5,NA,NA,NA,NA,gC_per_m2,NA,NA,NA,NA,NA,NA,Control_ref,Prefire,4500,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798_1,29.75,-82,"Temperate Grasslands, Savannas & Shrublands",TemperateGrassland,45,45,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,2,2,Control,Control_ref,1,Low,"Lavoie, M.; Starr, G.; Mack, M. C.; Martin, T. A.; Gholz, H. L.","Effects of a Prescribed Fire on Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida",10.3375/043.030.0109,RxFire,Pine,TEMF,USA,"29.75,-82",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,gC_per_m2,5,NA,NA,NA,NA,gC_per_m2,NA,NA,NA,NA,NA,NA,Control_ref,Prefire,4500,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798_2,29.75,-82,"Temperate Grasslands, Savannas & Shrublands",TemperateGrassland,45,45,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,3,3,Control,Control_ref,3,Low,"Lavoie, M.; Starr, G.; Mack, M. C.; Martin, T. A.; Gholz, H. L.","Effects of a Prescribed Fire on Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida",10.3375/043.030.0109,RxFire,Pine,TEMF,USA,"29.75,-82",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,gC_per_m2,5,NA,NA,NA,NA,gC_per_m2,NA,NA,NA,NA,NA,NA,Control_ref,Prefire,4500,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798_3,29.75,-82,"Temperate Grasslands, Savannas & Shrublands",TemperateGrassland,45,45,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,1,4,Burn,Burned,0.1,Low,"Lavoie, M.; Starr, G.; Mack, M. C.; Martin, T. A.; Gholz, H. L.","Effects of a Prescribed Fire on Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida",10.3375/043.030.0109,RxFire,Pine,TEMF,USA,"29.75,-82",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,gC_per_m2,5,NA,NA,NA,NA,gC_per_m2,NA,NA,NA,NA,NA,NA,Burned,Burned,5000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798_4,29.75,-82,"Temperate Grasslands, Savannas & Shrublands",TemperateGrassland,50,50,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,2,5,Burn,Burned,1,Low,"Lavoie, M.; Starr, G.; Mack, M. C.; Martin, T. A.; Gholz, H. L.","Effects of a Prescribed Fire on Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida",10.3375/043.030.0109,RxFire,Pine,TEMF,USA,"29.75,-82",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,gC_per_m2,5,NA,NA,NA,NA,gC_per_m2,NA,NA,NA,NA,NA,NA,Burned,Burned,4000,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798_5,29.75,-82,"Temperate Grasslands, Savannas & Shrublands",TemperateGrassland,40,40,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,3,6,Burn,Burned,3,Low,"Lavoie, M.; Starr, G.; Mack, M. C.; Martin, T. A.; Gholz, H. L.","Effects of a Prescribed Fire on Understory Vegetation, Carbon Pools, and Soil Nutrients in a Longleaf Pine-Slash Pine Forest in Florida",10.3375/043.030.0109,RxFire,Pine,TEMF,USA,"29.75,-82",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,gC_per_m2,5,NA,NA,NA,NA,gC_per_m2,NA,NA,NA,NA,NA,NA,Burned,Burned,4000,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798_6,29.75,-82,"Temperate Grasslands, Savannas & Shrublands",TemperateGrassland,40,40,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,1,1,Control,Unburned,6,Low,"Reich, PB; Peterson, DW; Wedin, DA; Wrage, K",ecol_82_608.1703_1719.tp (umn.edu),NA,RxFire,OakSavanna,SAVA,USA,"45.5, -93.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,Mg_per_hectare,NA,NA,NA,NA,NA,Unburned,Unburned,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179_1,45.5,-93.2,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,1,2,Burn,LowFrequency,6,Low,"Reich, PB; Peterson, DW; Wedin, DA; Wrage, K",ecol_82_608.1703_1719.tp (umn.edu),NA,RxFire,OakSavanna,SAVA,USA,"45.5, -93.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,Mg_per_hectare,NA,NA,NA,NA,NA,LowFrequency,Burned every 5 years,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179_2,45.5,-93.2,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
